stop_lat,stop_lon,stop_id,parent_station,stop_name,location_type
12.1421658,-86.2187158,node/6532390967,relation/9664472,Auto Lavado La Máquina,0
12.1421634,-86.2188018,node/6532390969,relation/9664472,Auto Lavado La Máquina,0
12.1472624,-86.2092876,node/7651448086,,Barrio Waspán,0
12.0992334,-86.2608784,node/4404042710,relation/6589729,Club Terraza Sur,0
12.1519138,-86.3486278,relation/6472909,,La primera casa,1
12.1488439,-86.2257852,node/3707320877,relation/6473495,Barrio Santa Rosa,0
12.0973701,-86.2973192,node/3707320876,relation/6473493,Villa Roma,0
12.1350357,-86.2393629,node/3707320875,relation/6473267,Pulpería Machado,0
12.11915245,-86.2057822,relation/6472903,,La Sabana,1
12.1483756514,-86.1996466493,relation/6472902,,La Rocargo,1
12.09653095,-86.3029489,relation/6472900,,La Parrilla,1
12.1562604,-86.3042514,node/3216611245,,Policía Distrito II,0
12.1130342,-86.1922217,node/4082299675,relation/6472949,Los Mangos,0
12.1129332,-86.1922326,node/4082299674,relation/6472949,Los Mangos,0
12.159754,-86.3501273,node/3870181519,relation/6472192,ALKE Ciudad Sandino,0
12.1089776,-86.2983854,node/2315495181,,Cooperativa de Panificadores,0
12.1525774,-86.248319,node/3303390730,,Ajax Delgado Sur,0
12.1511411,-86.2326542,node/3303390737,,Dirección General de Aduanas,0
12.1485708,-86.2031474,node/3303390736,relation/6472650,Entrada Barrio Hugo Chávez,0
12.1661477,-86.3616909,relation/6472839,,Iglesia San José,1
12.12490805,-86.2236701,relation/6472837,,Iglesia San José Obrero,1
12.0909139,-86.306952,node/463217648,,La Vuelta,0
12.1492954,-86.2082342,node/3303390738,,Bomberos Barrio Waspán,0
12.10921075,-86.22364075,relation/6473440,,Tanque Rojo,1
12.1199051,-86.2319422,relation/6473443,,Tanque,1
12.1019706,-86.2940553,node/7605153412,,Grúas Hocri,0
12.0987815,-86.2910172,node/7605153413,,Cementerio Loma Linda,0
12.1269195,-86.1984141,node/3306673912,relation/6473490,Terminal Los Laureles Norte,0
12.1078986,-86.2870227,node/3306673911,relation/6473498,Terminal Memorial Sandino,0
12.1401777,-86.2678993,node/3255740085,relation/6473017,Mirador Tiscapa,0
12.1467716,-86.213892,node/7228355978,relation/6473427,Taller Conrado,0
12.086543,-86.1938692,relation/6473279,,Pulpería Nohelia,1
12.1132397,-86.2203138,relation/6473272,,Pulpería Mejía,1
12.147203,-86.2412875,node/3694718718,,San Luis Sur,0
12.1464026,-86.2640017,node/4332740708,relation/6473507,Terminal Vanegas,0
12.1465189,-86.2641305,node/4332740709,relation/6473507,Terminal Vanegas,0
12.1126971,-86.2637662,node/4332740702,relation/6472422,Claro Villa Fontana,0
12.1206853,-86.2213762,node/4332740703,relation/6472823,Iglesia Madre del Divino Amor,0
12.15492,-86.1949721,node/4332740700,relation/6472334,Café Soluble,0
12.1549403,-86.1947824,node/4332740701,relation/6472334,Café Soluble,0
12.1208148,-86.2353839,node/4332740706,relation/6472888,La Fuente,0
12.1069902,-86.1884019,node/4332740707,,Terminal Lomas de Guadalupe,0
12.1207817,-86.2214118,node/4332740704,relation/6472823,Iglesia Madre del Divino Amor,0
12.120683,-86.2355005,node/4332740705,relation/6472888,La Fuente,0
