stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,direction,position
14174,14174,NW Springville & Gerber,northwest springville & gerber,Westbound stop in Washington Co. (Stop ID 14174),45.565736,-122.839309,B,https://trimet.org/home/stop/14174,0,,West,Farside
14175,14175,NW Springville & Gerber,northwest springville & gerber,Eastbound stop in Washington Co. (Stop ID 14175),45.56565,-122.838612,B,https://trimet.org/home/stop/14175,0,,East,Farside
14176,14176,NE M L King & Russet,northeast martin luther king & russet,Northbound stop in Portland (Stop ID 14176),45.578163,-122.661227,B,https://trimet.org/home/stop/14176,0,,North,Farside
14177,14177,NE Stanton & 121st,northeast stanton & 121st,Eastbound stop in Portland (Stop ID 14177),45.542875,-122.538412,B,https://trimet.org/home/stop/14177,0,,East,Farside
14178,14178,Molalla & Oregon City Post Office,molalla & oregon city post office,Southbound stop in Oregon City (Stop ID 14178),45.327051,-122.582997,B,https://trimet.org/home/stop/14178,0,,South,Opposite
14179,14179,Molalla & Lazy Creek Ln,molalla & lazy creek lane,Southbound stop in Oregon City (Stop ID 14179),45.324629,-122.580982,B,https://trimet.org/home/stop/14179,0,,South,Nearside
14180,14180,19400 Block Molalla,19400 block molalla,Northbound stop in Oregon City (Stop ID 14180),45.325138,-122.581162,B,https://trimet.org/home/stop/14180,0,,North,At
14181,14181,NE Killingsworth & 57th,northeast killings worth & 57th,Eastbound stop in Portland (Stop ID 14181),45.562675,-122.604139,B,https://trimet.org/home/stop/14181,0,,East,Farside
14182,14182,SE Linwood & Aspen,southeast linwood & aspen,Southbound stop in Milwaukie (Stop ID 14182),45.434808,-122.599355,B,https://trimet.org/home/stop/14182,0,,South,Farside
14183,14183,SE Linwood & Aspen,southeast linwood & aspen,Northbound stop in Milwaukie (Stop ID 14183),45.435331,-122.599285,B,https://trimet.org/home/stop/14183,0,,North,Farside
14184,14184,11000 Block SE Linwood,11000 block southeast linwood,Northbound stop in Milwaukie (Stop ID 14184),45.4429,-122.599151,B,https://trimet.org/home/stop/14184,0,,North,At
14187,14187,NW 21st & Quimby,northwest 21st & quimby,Northbound stop in Portland (Stop ID 14187),45.533708,-122.694625,B,https://trimet.org/home/stop/14187,0,,North,Farside
14188,14188,NE Saratoga & 27th,northeast saratoga & 27th,Westbound stop in Portland (Stop ID 14188),45.572645,-122.638565,B,https://trimet.org/home/stop/14188,0,,West,Farside
14189,14189,SW Alder & 14th,southwest alder & 14th,Eastbound stop in Portland (Stop ID 14189),45.521764,-122.686053,B,https://trimet.org/home/stop/14189,0,,East,Nearside
14190,14190,SW Alder & 10th,southwest alder & 10th,Eastbound stop in Portland (Stop ID 14190),45.520684,-122.681969,B,https://trimet.org/home/stop/14190,0,,East,Nearside
